Ward,Neighbourhood Number,Neighbourhood Name,"Less than $30,000","$30,000 to less than $60,000","$60,000 to less than $100,000","$100,000 to less than $125,000","$125,000 to less than $150,000","$150,000 to less than $200,000","$200,000 to less than $250,000","$250,000 or more",No Response
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0,0,0
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,0,0,2,0,0,0,0,0,25
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,12,72,75,31,6,10,2,0,84
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0
WARD 7,1130,ELMWOOD PARK,72,79,53,20,10,8,2,0,311
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 11,6410,MAPLE RIDGE,67,174,76,22,9,6,0,0,432
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0
